Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 14 S2 size: 15 | Time: 156116203.787333 microsegundos | 156.116204 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 15 S2 size: 15 | Time: 376225059.009333 microsegundos | 376.225059 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 0 S2 size: 0 | Time: 0.150000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 1 S2 size: 1 | Time: 0.100000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 2 S2 size: 2 | Time: 0.355000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 3 S2 size: 3 | Time: 1.325000 microsegundos | 0.000001 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 4 S2 size: 4 | Time: 3.235000 microsegundos | 0.000003 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 5 S2 size: 5 | Time: 20.185000 microsegundos | 0.000020 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 6 S2 size: 6 | Time: 91.715000 microsegundos | 0.000092 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 7 S2 size: 7 | Time: 588.772000 microsegundos | 0.000589 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 8 S2 size: 8 | Time: 4281.492000 microsegundos | 0.004281 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 9 S2 size: 9 | Time: 21763.967000 microsegundos | 0.021764 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 10 S2 size: 10 | Time: 120041.102000 microsegundos | 0.120041 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 11 S2 size: 11 | Time: 748365.730500 microsegundos | 0.748366 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 12 S2 size: 12 | Time: 3839449.268500 microsegundos | 3.839449 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 13 S2 size: 13 | Time: 22617711.035500 microsegundos | 22.617711 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 14 S2 size: 14 | Time: 135718310.365500 microsegundos | 135.718310 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_repeated_chars | S1 size: 15 S2 size: 15 | Time: 812691684.296500 microsegundos | 812.691684 segundos | Memoria: 0 bytes
