Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 3 S2 size: 3 | Time: 1.714000 microsegundos | 0.000002 segundos | Memoria: 280 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 4 S2 size: 4 | Time: 0.968000 microsegundos | 0.000001 segundos | Memoria: 364 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 5 S2 size: 5 | Time: 0.846000 microsegundos | 0.000001 segundos | Memoria: 456 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 6 S2 size: 6 | Time: 1.388000 microsegundos | 0.000001 segundos | Memoria: 556 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 7 S2 size: 7 | Time: 3.184000 microsegundos | 0.000003 segundos | Memoria: 664 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 8 S2 size: 8 | Time: 1.818000 microsegundos | 0.000002 segundos | Memoria: 780 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 9 S2 size: 9 | Time: 2.406000 microsegundos | 0.000002 segundos | Memoria: 904 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 10 S2 size: 10 | Time: 3.224000 microsegundos | 0.000003 segundos | Memoria: 1036 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 11 S2 size: 11 | Time: 2.908000 microsegundos | 0.000003 segundos | Memoria: 1176 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 12 S2 size: 12 | Time: 3.852000 microsegundos | 0.000004 segundos | Memoria: 1324 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 13 S2 size: 13 | Time: 5.720200 microsegundos | 0.000006 segundos | Memoria: 1480 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 14 S2 size: 14 | Time: 3.596000 microsegundos | 0.000004 segundos | Memoria: 1644 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 15 S2 size: 15 | Time: 3.390000 microsegundos | 0.000003 segundos | Memoria: 1816 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 16 S2 size: 16 | Time: 3.632000 microsegundos | 0.000004 segundos | Memoria: 1996 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 17 S2 size: 17 | Time: 4.144000 microsegundos | 0.000004 segundos | Memoria: 2184 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 18 S2 size: 18 | Time: 4.364000 microsegundos | 0.000004 segundos | Memoria: 2380 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 19 S2 size: 19 | Time: 4.210000 microsegundos | 0.000004 segundos | Memoria: 2584 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 20 S2 size: 20 | Time: 6.254000 microsegundos | 0.000006 segundos | Memoria: 2796 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 21 S2 size: 21 | Time: 18.496000 microsegundos | 0.000018 segundos | Memoria: 3016 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 22 S2 size: 22 | Time: 8.070000 microsegundos | 0.000008 segundos | Memoria: 3244 bytes
